ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID3210,2023,25-29,Masculino,Branca,ES,Sudeste,Estudante de Graduação,Tecnologia,Sim,Indústria,Não,Analista de Dados,Júnior,1500,Menos 1 ano
ID3211,2023,25-29,Masculino,Branca,SC,Sul,Estudante de Graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Analista de Dados,Sênior,10000,3 a 4 anos
ID3212,2023,25-29,Masculino,Branca,SC,Sul,Estudante de Graduação,Engenharia,Sim,Área de Consultoria,Não,Cientista de Dados,Júnior,500,3 a 4 anos
ID3213,2023,25-29,Masculino,Branca,RJ,Sudeste,Estudante de Graduação,Outra opção,Sim,Agronegócios,Não,Outra Opção,Sênior,14000,5 a 6 anos
ID3215,2023,45-49,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Internet,Sim,Team Leader,Não Declarou,27500,5 a 6 anos
ID3216,2023,30-34,Feminino,Parda,PE,Nordeste,Mestrado,Negócios,Sim,Setor Público,Não,Analista de Dados,Pleno,10000,3 a 4 anos
ID3217,2023,22-24,Masculino,Parda,RJ,Sudeste,Estudante de Graduação,Ciências da Natureza,Sim,Tecnologia,Não,Analista de Dados,Pleno,3500,1 a 2 anos
ID3218,2023,25-29,Masculino,Parda,GO,Centro-oeste,Graduação,Tecnologia,Sim,Área de Consultoria,Não,Engenheiro de Dados,Pleno,5000,1 a 2 anos
ID3219,2023,22-24,Masculino,Branca,SP,Sudeste,Graduação,Outra opção,Sim,Outra Opção,Não,Data Product Manager,Júnior,2500,1 a 2 anos
ID3220,2023,22-24,Feminino,Branca,SP,Sudeste,Estudante de Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Outra Opção,Júnior,2500,1 a 2 anos
ID3221,2023,35-39,Masculino,Parda,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Seguros ou Previdência,Não,Engenheiro de Dados,Pleno,14000,7 a 10 anos
ID3222,2023,25-29,Masculino,Parda,CE,Nordeste,Pós-graduação,Engenharia,Sim,Setor de Energia,Não,Analytics Engineer,Pleno,10000,3 a 4 anos
ID3223,2023,25-29,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Internet,Não,Analytics Engineer,Pleno,10000,3 a 4 anos
ID3224,2023,25-29,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Setor Imobiliário,Não,Engenheiro de Dados,Sênior,40000,7 a 10 anos
ID3225,2023,17-21,Masculino,Branca,SP,Sudeste,Graduação,Outra opção,Sim,3º setor,Não,Analista de BI,Júnior,3500,Menos 1 ano
ID3226,2023,40-44,Feminino,Branca,SP,Sudeste,Doutorado ou Phd,Saúde,Sim,Tecnologia,Não,Cientista de Dados,Pleno,10000,Mais 10 anos
ID3228,2023,30-34,Masculino,Branca,SP,Sudeste,Mestrado,Engenharia,Sim,Setor Imobiliário,Sim,Gerente,Não Declarou,40000,4 a 6 anos
ID3229,2023,25-29,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Educação,Não,Engenheiro de Dados,Pleno,10000,3 a 4 anos
ID3230,2023,25-29,Masculino,Parda,MG,Sudeste,Pós-graduação,Engenharia,Sim,Área da Saúde,Não,Outra Opção,Pleno,5000,1 a 2 anos
ID3231,2023,25-29,Masculino,Branca,SC,Sul,Graduação,Outra opção,Sim,Setor Alimentício,Não,Cientista de Dados,Pleno,5000,Menos 1 ano
ID3232,2023,25-29,Feminino,Branca,PR,Sul,Mestrado,Engenharia,Sim,Tecnologia,Sim,Sócio ou C-level,Não Declarou,10000,3 a 4 anos
ID3233,2023,22-24,Feminino,Parda,SP,Sudeste,Graduação,Engenharia,Sim,Finanças ou Bancos,Não,Analytics Engineer,Pleno,7000,3 a 4 anos
ID3234,2023,30-34,Masculino,Preta,SP,Sudeste,Estudante de Graduação,Estatística,Sim,Finanças ou Bancos,Não,Analista de Negócios,Sênior,10000,4 a 6 anos
